Depth,Vp,Vs,Density,Vshale,Peff,Sw,Litho
3200.144,2848.1855469,1415.6911621,2.4872999191,0.8949534893,0.0157689862,1.0,3.0
3200.2964,2858.9274902,1433.0776367,2.4711000919,0.884303391,0.0184387285,1.0,3.0
3200.4488,2864.6184082,1437.152832,2.4551999569,0.8589051366,0.0237684399,1.0,3.0
3200.6012,2866.8845215,1460.1729736,2.4546000957,0.8549690247,0.024481222,1.0,3.0
3200.7536,2865.8493652,1447.4776611,2.4665000439,0.8516223431,0.0240371767,1.0,3.0
3200.906,2862.8964844,1432.5267334,2.4628999233,0.8483931422,0.0248721931,1.0,3.0
3201.0584,2859.5339355,1432.0576172,2.4472999573,0.861063838,0.0240319911,1.0,3.0
3201.2108,2862.0014648,1408.0186768,2.4291000366,0.86068964,0.0255455375,1.0,3.0
3201.3632,2864.4624023,1425.6654053,2.4244000912,0.8274207115,0.0321095996,1.0,3.0
3201.5156,2861.1364746,1439.9799805,2.4191000462,0.8057655096,0.0367269628,1.0,3.0
3201.668,2859.9016113,1438.7646484,2.4384999275,0.8256328106,0.0310373679,1.0,3.0
3201.8204,2857.2365723,1439.2375488,2.4632000923,0.8772034645,0.0201245919,1.0,3.0
3201.9728,2854.1435547,1425.6287842,2.4855999947,0.9062741995,0.0141606303,1.0,3.0
3202.1252,2859.1501465,1426.6990967,2.4760000706,0.8964723945,0.0162094608,1.0,3.0
3202.2776,2866.1108398,1425.6940918,2.459100008,0.9099155068,0.0149746155,1.0,3.0
3202.43,2861.8374023,1418.6635742,2.4693000317,0.8916121125,0.0173854157,1.0,3.0
3202.5824,2846.4086914,1423.2442627,2.4662001133,0.9326552153,0.0109213954,1.0,3.0
3202.7348,2832.2084961,1412.5544434,2.4749999046,0.8951138258,0.0164821185,1.0,3.0
3202.8872,2824.7565918,1457.4589844,2.4642999172,0.9081569314,0.014994042,1.0,3.0
3203.0396,2826.5063477,1412.008667,2.4686999321,0.8940309882,0.0170337651,1.0,3.0
3203.192,2832.8242188,1390.3999023,2.4558999538,0.952581048,0.0079690954,1.0,3.0
3203.3444,2834.4101563,1380.0604248,2.4409999847,0.9793448448,0.0036471107,1.0,3.0
