WellName;La;Lo;Latitude;Longitute
25/10-9;"59°06'34.6715""N";"2°10'7.7990""E";59.06346715;2.1070990
25/10-11;"59°12'48.0601""N";"2°07'42.2901""E";59.12480601;2.07422901
25/9-2 S;"59°22'56.2586""N";"2°41'46.8889""E";59.22562586;2.41468889
25/10-12 S;"59°02'36.7000""N";"2°18'13.0998""E";59.02367000;2.18130998
25/2-18 B;"59°49'30.1101""N";"2°37'54.1001""E";59.49301101;2.37541001
25/8-15 S;"59°15'58.1291""N";"2°26'59.5283""E";59.15581291;2.26595283
15/3-8;"58°51'27.7991""N";"1°43'17.0003""E";58.51277991;1.43170003
15/3-7;"58°50'54.5713""N";"1°45'8.5894""E";58.50545713;1.4580894
25/6-5 S;"59°35'27.1392""N";"2°45'39.4596""E";59.35271392;2.45394596
25/11-26;"59°14'3.1911""N";"2°36'41.0093""E";59.14301911;2.36410093
16/1-10;"58°51'14.6087""N";"2°16'30.8499""E";58.51146087;2.16308499
25/11-24;"59°06'12.6586""N";"2°20'27.7533""E";59.06126586;2.20277533
25/2-18 S;"59°49'30.1101""N";"2°37'54.1001""E";59.49301101;2.37541001
16/1-11;"58°55'36.1488""N";"2°11'7.4798""E";58.55361488;2.1170798
24/12-6 ST2;"59°03'54.1403""N";"1°45'15.2387""E";59.03541403;1.45152387
16/1-11 A;"58°55'36.1488""N";"2°11'7.4798""E";58.55361488;2.1170798
25/9-4;"59°25'24.3588""N";"2°47'15.1008""E";59.25243588;2.47151008
25/2-18 A;"59°49'30.1101""N";"2°37'54.1001""E";59.49301101;2.37541001
15/3-9;"58°49'14.0000""N";"1°46'20.6999""E";58.49140000;1.46206999
25/11-25 A;"59°08'48.5779""N";"2°23'21.1203""E";59.08485779;2.23211203
25/11-28;"59°00'31.1004""N";"2°21'59.2992""E";59.00311004;2.21592992
24/12-6 S;"59°03'54.1403""N";"1°45'15.2387""E";59.03541403;1.45152387
24/9-7 C;"59°28'42.6000""N";"1°57'44.4887""E";59.28426000;1.57444887
25/1-11 R;"59°47'25.1196""N";"2°13'6.4308""E";59.47251196;2.1360308
16/1-11 T2;"58°55'36.1501""N";"2°11'7.4798""E";58.55361501;2.1170798
25/9-2 A;"59°22'56.2599""N";"2°41'46.8901""E";59.22562599;2.41468901
24/9-10 S;"59°16'34.7304""N";"1°55'36.1310""E";59.16347304;1.55361310
25/8-17;"59°23'32.1396""N";"2°20'2.1981""E";59.23321396;2.2020981
15/3-9 T2;"58°49'14.0016""N";"1°46'20.7011""E";58.49140016;1.46207011
24/9-9 S;"59°19'40.4903""N";"1°50'17.2718""E";59.19404903;1.50172718
25/6-3;"59°42'3.0299""N";"2°55'25.0402""E";59.42300299;2.55250402
24/9-7 B;"59°28'42.6000""N";"1°57'44.4887""E";59.28426000;1.57444887
25/10-10;"59°11'5.5100""N";"2°17'50.7001""E";59.11505100;2.17507001
25/2-17;"59°51'57.1283""N";"2°37'50.3905""E";59.51571283;2.37503905
25/4-9S;"59°40'20.4999""N";"2°16'40.7099""E";59.40204999;2.16407099
